,audio_status,audio_status_time
429,1,1456.042960211
430,1,1456.0530135
431,1,1456.053916534
432,1,1456.054589748
433,1,1456.055359928
434,1,1456.056008825
435,1,1456.056629182
436,1,1456.057305345
437,1,1456.057965319
438,1,1456.058630044
439,1,1456.059340823
440,1,1456.0599264
441,1,1456.06946136
442,1,1456.07030198
443,1,1456.070912623
444,1,1456.07160124
445,1,1456.072258202
446,1,1456.072926964
447,1,1456.073624315
448,1,1456.074401544
449,1,1456.075169018
450,1,1456.075893541
451,1,1456.076604259
452,1,1456.086675265
453,1,1456.087561998
454,1,1456.088345246
455,1,1456.089074685
456,1,1456.089792064
457,1,1456.090625602
458,1,1456.091493486
459,1,1456.092286632
460,1,1456.092994738
461,1,1456.09375591
462,1,1456.094531114
463,1,1456.10266218
464,1,1456.103513148
465,1,1456.104129144
466,1,1456.104821555
467,1,1456.105519711
468,1,1456.106190389
469,1,1456.106839883
470,1,1456.107496402
471,1,1456.108117358
472,1,1456.108737305
473,1,1456.10937655
474,1,1456.119808185
475,1,1456.120613636
476,1,1456.121196599
477,1,1456.121771589
478,1,1456.122346943
479,1,1456.122945355
480,1,1456.123543276
481,1,1456.124207262
482,1,1456.124862522
483,1,1456.12553987
484,1,1456.126237298
485,1,1456.136084869
486,1,1456.137038258
487,1,1456.137742669
488,1,1456.138511405
489,1,1456.13914012
490,1,1456.139824804
491,1,1456.140495629
492,1,1456.141192435
493,1,1456.141883272
494,1,1456.142592399
495,1,1456.143289312
496,1,1456.153511606
497,1,1456.154440512
498,1,1456.155147024
499,1,1456.155937086
500,1,1456.156629506
501,1,1456.157271146
502,1,1456.157910378
503,1,1456.158582681
504,1,1456.15921038
505,1,1456.159821602
506,1,1456.160413341
507,1,1456.169678322
508,1,1456.170564058
509,1,1456.171216095
510,1,1456.171923411
511,1,1456.172555075
512,1,1456.173132673
513,1,1456.17377467
514,1,1456.174403778
515,1,1456.175058675
516,1,1456.175691665
517,1,1456.176331106
518,1,1456.186567318
519,1,1456.187469485
520,1,1456.188275719
521,1,1456.188951861
522,1,1456.189552109
523,1,1456.19019185
524,1,1456.19089537
525,1,1456.191579544
526,1,1456.192211345
527,1,1456.192870629
528,1,1456.193769732
529,1,1456.202748279
530,1,1456.203526786
531,1,1456.204189963
532,1,1456.204876126
533,1,1456.205492469
534,1,1456.206141195
535,1,1456.206807702
536,1,1456.207436715
537,1,1456.208088642
538,1,1456.208864134
539,1,1456.209546125
540,1,1456.219265805
541,1,1456.219971922
542,1,1456.220577286
543,1,1456.221168524
544,1,1456.221809058
545,1,1456.222373965
546,1,1456.222969298
547,1,1456.223650061
548,1,1456.224355979
549,1,1456.225025284
550,1,1456.225648426
551,1,1456.236590579
552,1,1456.237396361
553,1,1456.238122914
554,1,1456.238810472
555,1,1456.239490632
556,1,1456.240128674
557,1,1456.240749644
558,1,1456.241400818
559,1,1456.24195948
560,1,1456.242627914
561,1,1456.24323787
562,1,1456.252962641
563,1,1456.253852782
564,1,1456.254528162
565,1,1456.25516127
566,1,1456.255801589
567,1,1456.256436711
568,1,1456.257053268
569,1,1456.257695005
570,1,1456.258287025
571,1,1456.258961055
572,1,1456.259568524
573,1,1456.269207905
574,1,1456.270039006
575,1,1456.270664572
576,1,1456.271256769
577,1,1456.27187725
578,1,1456.272518873
579,1,1456.273134983
580,1,1456.27381687
581,1,1456.274432096
582,1,1456.275036913
583,1,1456.275680446
584,1,1456.286218468
585,1,1456.287052701
586,1,1456.2876829
587,1,1456.288320846
588,1,1456.288979439
589,1,1456.28959898
590,1,1456.29027668
591,1,1456.29095996
592,1,1456.291624203
593,1,1456.292319475
594,1,1456.293032992
595,1,1456.302524161
596,1,1456.303251593
597,1,1456.303897896
598,1,1456.304513055
599,1,1456.305119051
600,1,1456.305748229
601,1,1456.306322705
