,audio_status,audio_status_time,audio_status_realtime,audio_status_trialtime
6578,1,3626.684104066,08:24:24:909461,10.515190937198895
6579,1,3626.693595423,08:24:24:918959,10.524641499198879
6580,1,3626.694430864,08:24:24:919789,10.525522224198994
6581,1,3626.695164737,08:24:24:920523,10.526259578198733
6582,1,3626.695864026,08:24:24:921221,10.526956222198805
6583,1,3626.696602344,08:24:24:921961,10.527700694198757
6584,1,3626.697342032,08:24:24:922700,10.528440033198876
6585,1,3626.698086329,08:24:24:923445,10.529181349199007
6586,1,3626.698827529,08:24:24:924186,10.52992349619899
6587,1,3626.699495419,08:24:24:924853,10.530574777199035
6588,1,3626.700131851,08:24:24:925489,10.531212279198826
6589,1,3626.700761411,08:24:24:926118,10.531837622198964
6590,1,3626.710121306,08:24:24:935481,10.541165171198827
6591,1,3626.710943231,08:24:24:936303,10.54208546919881
6592,1,3626.711730549,08:24:24:937108,10.542855040198901
6593,1,3626.712507334,08:24:24:937866,10.543600138199054
6594,1,3626.71328617,08:24:24:938645,10.544378518198755
6595,1,3626.713921486,08:24:24:939278,10.545018337199053
6596,1,3626.714616413,08:24:24:939973,10.545688974199038
6597,1,3626.71524953,08:24:24:940606,10.546321477198944
6598,1,3626.715938026,08:24:24:941296,10.547021817199038
6599,1,3626.716650937,08:24:24:942010,10.547738674199081
6600,1,3626.717406017,08:24:24:942764,10.54849159819878
6601,1,3626.726848289,08:24:24:952212,10.557894263198705
6602,1,3626.727725985,08:24:24:953085,10.558817818198804
6603,1,3626.728426611,08:24:24:953784,10.559544012198785
6604,1,3626.729242549,08:24:24:954601,10.560338396198858
6605,1,3626.729958782,08:24:24:955317,10.561043398198763
6606,1,3626.730615949,08:24:24:955974,10.561730573198929
6607,1,3626.731385073,08:24:24:956743,10.562469012199017
6608,1,3626.732041325,08:24:24:957400,10.563129636198937
6609,1,3626.73268814,08:24:24:958046,10.563764419198833
6610,1,3626.733310666,08:24:24:958668,10.56438797419878
6611,1,3626.733947409,08:24:24:959305,10.565033060198857
6612,1,3626.743701937,08:24:24:969068,10.574748146199
6613,1,3626.744580449,08:24:24:969940,10.575674939198962
6614,1,3626.74534481,08:24:24:970704,10.576464451198717
6615,1,3626.746106535,08:24:24:971466,10.57720137719889
6616,1,3626.746841592,08:24:24:972200,10.577960227198673
6617,1,3626.747558616,08:24:24:972916,10.578627910198975
6618,1,3626.748200977,08:24:24:973559,10.579274027199062
6619,1,3626.748857426,08:24:24:974217,10.579944342198814
6620,1,3626.749616375,08:24:24:974975,10.580704014199
6621,1,3626.75037353,08:24:24:975735,10.581465313198805
6622,1,3626.751105486,08:24:24:976466,10.582198508198871
6623,1,3626.760239607,08:24:24:985602,10.591284337198886
6624,1,3626.761060586,08:24:24:986421,10.592153214198788
6625,1,3626.761738129,08:24:24:987098,10.592860262198883
6626,1,3626.762516499,08:24:24:987876,10.593604986198898
6627,1,3626.76318822,08:24:24:988548,10.59427747619884
6628,1,3626.763910832,08:24:24:989270,10.594995533198926
6629,1,3626.764618815,08:24:24:989978,10.595707353199032
6630,1,3626.765348055,08:24:24:990707,10.596440910198908
6631,1,3626.766015965,08:24:24:991376,10.597102738198828
6632,1,3626.766734029,08:24:24:992093,10.597817784198924
6633,1,3626.767445792,08:24:24:992805,10.598572859199066
6634,1,3626.776631423,08:24:25:001997,10.607677106198935
6635,1,3626.777524182,08:24:25:002885,10.608616673198867
6636,1,3626.778258393,08:24:25:003618,10.60935209219906
6637,1,3626.778993084,08:24:25:004353,10.610085056198841
6638,1,3626.779761096,08:24:25:005121,10.610846784199111
6639,1,3626.780427504,08:24:25:005787,10.611507617199095
6640,1,3626.781467092,08:24:25:006827,10.612547697198806
6641,1,3626.782171769,08:24:25:007532,10.613256776198796
6642,1,3626.782932006,08:24:25:008292,10.614012780199118
6643,1,3626.78358865,08:24:25:008948,10.614666223199038
6644,1,3626.784216169,08:24:25:009575,10.615290266198826
6645,1,3626.793528695,08:24:25:018892,10.624573076198885
6646,1,3626.794284907,08:24:25:019646,10.62537758219878
6647,1,3626.794995934,08:24:25:020354,10.626063789198724
6648,1,3626.7957015,08:24:25:021061,10.626779156199063
6649,1,3626.796406753,08:24:25:021768,10.627500143199086
6650,1,3626.797090869,08:24:25:022451,10.62817989819905
6651,1,3626.797898215,08:24:25:023258,10.628983633198914
6652,1,3626.798550489,08:24:25:023910,10.629633133198695
6653,1,3626.799263307,08:24:25:024624,10.630349064198981
6654,1,3626.799970894,08:24:25:025332,10.631102751198796
6655,1,3626.800740387,08:24:25:026101,10.631826579198787
6656,1,3626.809958193,08:24:25:035339,10.641014632198676
6657,1,3626.81088901,08:24:25:036250,10.64197146919878
6658,1,3626.811529345,08:24:25:036889,10.642607038199003
6659,1,3626.812158016,08:24:25:037518,10.643234372199004
6660,1,3626.812828014,08:24:25:038190,10.643923993198769
6661,1,3626.813565206,08:24:25:038927,10.644659784198666
6662,1,3626.814242576,08:24:25:039603,10.645357134199003
6663,1,3626.815007574,08:24:25:040368,10.646088457198857
6664,1,3626.815659822,08:24:25:041020,10.646739230198818
6665,1,3626.816291989,08:24:25:041652,10.647370138198767
6666,1,3626.816918391,08:24:25:042278,10.647994777199074
6667,1,3626.826593324,08:24:25:051960,10.657639069198922
6668,1,3626.827406539,08:24:25:052767,10.658487713199065
6669,1,3626.828152269,08:24:25:053514,10.659254068199061
6670,1,3626.828848172,08:24:25:054210,10.659967030198914
6671,1,3626.829525623,08:24:25:054886,10.660614993199033
6672,1,3626.830237304,08:24:25:055597,10.661308703198756
6673,1,3626.83088273,08:24:25:056243,10.661956532198928
6674,1,3626.831585607,08:24:25:056947,10.662680019198888
6675,1,3626.832327141,08:24:25:057690,10.663528388198756
6676,1,3626.833145743,08:24:25:058507,10.664226697198956
6677,1,3626.833893941,08:24:25:059256,10.664985821199025
