,flip_time
114,0.009329800999694271
115,0.009183183999994071
116,0.009625411999877542
117,0.009617858000183332
118,0.008882186999926489
119,0.009538412999972934
120,0.015091413999925862
121,0.00878796599999987
122,0.009588491000158683
123,0.009862172000339342
124,0.008975326000381756
125,0.009090968000236899
126,0.009374087999731273
127,0.009506147000138299
128,0.009171226000034949
129,0.009740818999944167
130,0.00954303600019557
131,0.009689025999705336
132,0.00923085899967191
133,0.009376584000165167
134,0.009616993999770784
135,0.009427311999843369
136,0.009587717000158591
137,0.009879076999823155
138,0.008387839000079111
139,0.009452424000301107
140,0.009531637000236515
141,0.009793075000288809
142,0.009681331999672693
143,0.009634311999889178
144,0.014734640999904514
145,0.009393269000156579
146,0.009795150999707403
147,0.009346044999801961
148,0.00940294800011543
149,0.00957306400005109
150,0.009668945000157692
151,0.008988110000245797
152,0.009942091000084474
153,0.009241103000022122
154,0.009234297000148217
155,0.009388309999849298
156,0.009600865000265912
157,0.009556297000017366
158,0.008959185000094294
159,0.009897729999920557
160,0.009564231000240397
161,0.009941330999936326
162,0.009701503000087541
163,0.009956232999684289
164,0.009766995000063616
165,0.009908290000112174
166,0.009695965999981127
167,0.009885166999993089
168,0.009731835000366118
169,0.009848260000126174
170,0.009742536999965523
171,0.009900309999920864
172,0.00974360100008198
173,0.009962794999864855
174,0.009754233999956341
175,0.009836790999997902
176,0.009568754000156332
177,0.009300066999912815
178,0.009665066999787086
179,0.00951705099987521
180,0.009443037999972148
181,0.014926401999673544
182,0.021132637999926374
183,0.016847398999743746
184,0.009593163000317873
185,0.009423983000033331
186,0.009825368000292656
187,0.00935128299988719
188,0.00945636000005834
189,0.009901192999677733
190,0.009589930000402092
191,0.009719681999740715
192,0.009580894999999146
193,0.00939022800002931
194,0.009087725999961549
195,0.0095540610000171
196,0.008902884000235645
197,0.00942507099989598
198,0.009316533999935928
199,0.008588342000166449
200,0.009289569999964442
201,0.009926694000114367
202,0.009714264999729494
203,0.010079259000121965
204,0.009630947999994532
205,0.010015177000241238
206,0.00917031200015117
207,0.010002125000028173
208,0.010005703000388166
209,0.009340482999959931
210,0.009878264000235504
211,0.009769212000264815
212,0.009950374999789346
213,0.009633009000026505
214,0.009833902000082162
215,0.009609074000309192
216,0.009481559000050765
217,0.01471968400028345
218,0.012603008000041882
219,0.009808003999751236
220,0.00983417899988126
221,0.009750312000051053
222,0.010219766999853164
223,0.0100407320001068
224,0.009916916000292986
225,0.010058802000003197
226,0.00923534200001086
227,0.009552443999837124
228,0.010058397999728186
229,0.010000180999668373
230,0.010052589000224543
231,0.009984238000015466
232,0.009974871999929746
233,0.009745916000156285
234,0.009543533999931242
235,0.009913569000218558
236,0.009875215000192838
237,0.00986510399980034
238,0.009962899000129255
239,0.009817486999963876
240,0.009924197000145796
241,0.009887486000025092
242,0.010006731000430591
243,0.009909980999964318
244,0.010243296999760787
245,0.009620326000003843
246,0.008649086999866995
247,0.00970768599972871
248,0.009443401000226004
249,0.009716730000036478
250,0.01000523599986991
251,0.009766013999978895
252,0.009654167999997298
253,0.00979920999998285
254,0.009973769999760407
255,0.015098150000085298
256,0.009551741999985097
257,0.009620454000014433
258,0.009714669000004506
259,0.009417475000191189
260,0.009497406000264164
261,0.009587397999894165
262,0.010135084000012284
263,0.009954738000033103
264,0.009830368000166345
265,0.009994005999942601
266,0.010084004999953322
267,0.009738151999954425
268,0.009771999000349751
269,0.009754406999945786
270,0.010164596999857167
271,0.008751479999773437
272,0.009462857000016811
273,0.00948347300027308
274,0.009762628999851586
275,0.009459475000312523
276,0.009600218000286986
277,0.009282707999773265
278,0.009970564000013837
279,0.009941755999989255
280,0.009258831999886752
281,0.009687787000075332
282,0.009814182999889454
283,0.009620025000003807
284,0.010097224000219285
285,0.010130135000053997
286,0.009863714999937656
287,0.00919505100000606
288,0.009737165999922581
289,0.009801690000131202
290,0.01001664500017796
291,0.00995923499976925
292,0.009991384999921138
293,0.015705136000178754
294,0.019675260999974853
295,0.009743521000018518
296,0.009511953000128415
297,0.009712795999803348
298,0.009543987000142806
299,0.009909753000101773
300,0.009690374000001611
301,0.009460256999773264
302,0.009253559000171663
303,0.009405598000284954
304,0.009650234000218916
305,0.009047752000242326
306,0.010070237999570963
307,0.00871736300041448
308,0.011316537000311655
309,0.008936761999848386
310,0.009263950000331533
311,0.009842312000273523
312,0.009820016000048781
313,0.0099038019998261
314,0.009662438999839651
315,0.010007009999753791
316,0.010125169000275491
317,0.009652215000187425
318,0.00907649600003424
319,0.00872088200003418
320,0.009327913000106491
321,0.00936897300016426
322,0.009891803999835247
323,0.009863046000191389
324,0.0089299179999216
325,0.009563894000166329
326,0.00994531400010601
327,0.010112300999935542
328,0.00964550499975303
329,0.009820402000059403
330,0.02717107499984195
331,0.00867543200001819
332,0.009612243999981729
333,0.010135770000033517
334,0.009357275000184018
335,0.009852313999999751
336,0.009756889000072988
337,0.00952507100009825
338,0.009643009999763308
339,0.009793079999781185
340,0.009631249999983993
341,0.009779134999917005
342,0.01003200500008461
343,0.009577522000199679
344,0.009697847000097681
345,0.009536832000321738
346,0.009598220000043511
347,0.00978833899989695
348,0.010054611999748886
349,0.009802728000067873
