,flip_time
164,0.011343345000113914
165,0.011310621999655268
166,0.01090918399995644
167,0.010772644000098808
168,0.01078795600005833
169,0.011498828000185313
170,0.011121493999780796
171,0.010533809000207839
172,0.010854621999897063
173,0.011296545999812224
174,0.010978880000038771
175,0.0109698380001646
176,0.01169108000021879
177,0.010770748999675561
178,0.010868802999993932
179,0.01111912599981224
180,0.010379878999629
181,0.011495724000269547
182,0.010870155999782583
183,0.010329967999950895
184,0.01061663199971008
185,0.011487400000078196
186,0.03087679600002957
187,0.008251901999756228
188,0.010549136999998154
189,0.010037367999757407
190,0.011131409999961761
191,0.01062436299980618
192,0.01064425399999891
193,0.010957781999877625
194,0.01126437699986127
195,0.010254136000185099
196,0.011093909000010171
197,0.01023731899977065
198,0.011444994000157749
199,0.010731443000167928
200,0.011439257999882102
201,0.010879941999974108
202,0.011113452999779838
203,0.010800514000038675
204,0.010799445999964519
205,0.010728745000051276
206,0.011131489000035799
207,0.011190101000011055
208,0.011106681999990542
209,0.010721293999722548
210,0.011015203000170004
211,0.010257602999899973
212,0.011136121000163257
213,0.011453652000000147
214,0.010317863000182115
215,0.01072752500022034
216,0.011318594999920606
217,0.010955019999983051
218,0.010686486999929912
219,0.011212307999812765
220,0.010780096999951638
221,0.010533641999700194
222,0.010480289999577508
223,0.01075036900010673
224,0.015860662999784836
225,0.011633799999799521
226,0.01192459100002452
227,0.011148582999794598
228,0.009480863000135287
229,0.009530128999813314
230,0.010714534999806347
231,0.011049875000026077
232,0.01078659399991011
233,0.01063956199959648
234,0.011030272999960289
235,0.01063717600027303
236,0.011104777999662474
237,0.010826659000031214
238,0.010702696999942418
239,0.010878725000111444
240,0.010403116999896156
241,0.011552499999652355
242,0.011043581000194536
243,0.010849286999928154
244,0.010736875000020518
245,0.010201581000274018
246,0.010901446999923792
247,0.01060229100039578
248,0.011178998000104912
249,0.0115664619997915
250,0.00988576000008834
251,0.010943984999812528
252,0.010727974000019458
253,0.010540148000018235
254,0.01132219700002679
255,0.010620546000154718
256,0.010546470999997837
257,0.011286118000043643
258,0.010492350000276929
259,0.011569037000299431
260,0.010851804000139964
261,0.010850766000203294
262,0.015980151000348997
263,0.02863906299990049
264,0.010593909999897733
265,0.011149360000217712
266,0.010722750000240922
267,0.010930188000202179
268,0.01144568400013668
269,0.012970733999736694
270,0.009637992000079976
271,0.009355157999834773
272,0.009796278000067105
273,0.01021101100013766
274,0.01179991599974528
275,0.009747532000346837
