,loop_start_time,loop_end_time,loop_length
220,5175.449143217,5175.465758515,0.016615298000033363
221,5175.465764219,5175.482276244,0.01651202499942883
222,5175.482281157,5175.499324045,0.01704288800010545
223,5175.499329159,5175.515700022,0.016370862999792735
224,5175.515706105,5175.532350599,0.01664449399959267
225,5175.532373802,5175.569647047,0.037273245000505995
226,5175.569652371,5175.58325169,0.013599318999695242
227,5175.583257609,5175.599886639,0.016629030000331113
228,5175.599894092,5175.616326237,0.016432145000180753
229,5175.616333637,5175.632945013,0.016611375999673328
230,5175.632952645,5175.649666833,0.016714188000150898
231,5175.649674116,5175.66637518,0.016701063999789767
232,5175.666381662,5175.682902405,0.016520743000000948
233,5175.682909964,5175.699555334,0.01664537000033306
234,5175.69956704,5175.716241363,0.01667432300018845
235,5175.716246235,5175.732891993,0.016645757999867783
236,5175.732898717,5175.749803579,0.016904862000046705
237,5175.749811595,5175.766334242,0.01652264699987427
238,5175.766341483,5175.783318915,0.016977431999293913
239,5175.783326033,5175.800116227,0.01679019400035031
240,5175.800122505,5175.816124853,0.016002347999346966
241,5175.816131403,5175.832915036,0.016783632999249676
242,5175.832921889,5175.849451406,0.016529516999980842
243,5175.849458252,5175.865898374,0.016440121999949042
244,5175.865904614,5175.882641043,0.016736429000047792
245,5175.882647484,5175.899330822,0.01668333799989341
246,5175.899337843,5175.916214171,0.01687632800076244
247,5175.916219113,5175.933235474,0.017016361000059987
248,5175.933240245,5175.949166397,0.015926152000247384
249,5175.949172597,5175.966148647,0.016976050000266696
250,5175.966153475,5175.982641361,0.016487885999595164
251,5175.98264761,5175.999320273,0.016672663000463217
252,5175.999327522,5176.0162575,0.016929978000007395
253,5176.016262134,5176.03275234,0.016490206000526086
254,5176.032758369,5176.049743521,0.016985152000415837
255,5176.04975109,5176.066169475,0.01641838499926962
256,5176.066174323,5176.082970772,0.016796449000139546
257,5176.08297752,5176.09910828,0.0161307600001237
258,5176.099114212,5176.116496054,0.017381841999849712
259,5176.116503486,5176.132722349,0.016218863000176498
