,audio_status,audio_status_time,audio_status_realtime
2698,1,10627.13297164,2022-06-13 23:04:16.431732
2699,1,10627.133709075,2022-06-13 23:04:16.432469
2700,1,10627.134414515,2022-06-13 23:04:16.433174
2701,1,10627.135066613,2022-06-13 23:04:16.433825
2702,1,10627.135952955,2022-06-13 23:04:16.434714
2703,1,10627.136639209,2022-06-13 23:04:16.435399
2704,1,10627.137259795,2022-06-13 23:04:16.436019
2705,1,10627.137919895,2022-06-13 23:04:16.436679
2706,1,10627.138536808,2022-06-13 23:04:16.437296
2707,1,10627.148213445,2022-06-13 23:04:16.446972
2708,1,10627.149014597,2022-06-13 23:04:16.447775
2709,1,10627.149678079,2022-06-13 23:04:16.448440
2710,1,10627.150316123,2022-06-13 23:04:16.449076
2711,1,10627.150997532,2022-06-13 23:04:16.449758
2712,1,10627.151678963,2022-06-13 23:04:16.450440
2713,1,10627.152359875,2022-06-13 23:04:16.451120
2714,1,10627.15301858,2022-06-13 23:04:16.451778
2715,1,10627.153679255,2022-06-13 23:04:16.452438
2716,1,10627.154347288,2022-06-13 23:04:16.453105
2717,1,10627.155013762,2022-06-13 23:04:16.453773
2718,1,10627.164753405,2022-06-13 23:04:16.463513
2719,1,10627.165542275,2022-06-13 23:04:16.464304
2720,1,10627.166164196,2022-06-13 23:04:16.464925
2721,1,10627.166798557,2022-06-13 23:04:16.465560
2722,1,10627.167427039,2022-06-13 23:04:16.466188
2723,1,10627.168071972,2022-06-13 23:04:16.466833
2724,1,10627.168749056,2022-06-13 23:04:16.467510
2725,1,10627.169433859,2022-06-13 23:04:16.468195
2726,1,10627.170097513,2022-06-13 23:04:16.468858
2727,1,10627.170844049,2022-06-13 23:04:16.469605
2728,1,10627.171562542,2022-06-13 23:04:16.470323
2729,1,10627.181611953,2022-06-13 23:04:16.480372
2730,1,10627.182322171,2022-06-13 23:04:16.481083
2731,1,10627.182966799,2022-06-13 23:04:16.481727
2732,1,10627.183600207,2022-06-13 23:04:16.482361
2733,1,10627.184231532,2022-06-13 23:04:16.482991
2734,1,10627.184895877,2022-06-13 23:04:16.483657
2735,1,10627.185499461,2022-06-13 23:04:16.484260
2736,1,10627.18614174,2022-06-13 23:04:16.484902
2737,1,10627.186759876,2022-06-13 23:04:16.485520
2738,1,10627.187413295,2022-06-13 23:04:16.486174
2739,1,10627.18806364,2022-06-13 23:04:16.486825
2740,1,10627.198180049,2022-06-13 23:04:16.496941
2741,1,10627.198980723,2022-06-13 23:04:16.497743
2742,1,10627.199676203,2022-06-13 23:04:16.498439
2743,1,10627.200334421,2022-06-13 23:04:16.499099
2744,1,10627.201030007,2022-06-13 23:04:16.499791
2745,1,10627.20172429,2022-06-13 23:04:16.500486
2746,1,10627.202364295,2022-06-13 23:04:16.501126
2747,1,10627.20297984,2022-06-13 23:04:16.501742
2748,1,10627.203594166,2022-06-13 23:04:16.502355
2749,1,10627.204231913,2022-06-13 23:04:16.502993
2750,1,10627.20487068,2022-06-13 23:04:16.503632
2751,1,10627.214888527,2022-06-13 23:04:16.513652
2752,1,10627.215667443,2022-06-13 23:04:16.514430
2753,1,10627.216294725,2022-06-13 23:04:16.515056
2754,1,10627.216961489,2022-06-13 23:04:16.515724
2755,1,10627.217654163,2022-06-13 23:04:16.516417
2756,1,10627.218291261,2022-06-13 23:04:16.517054
2757,1,10627.219128607,2022-06-13 23:04:16.517891
2758,1,10627.219902327,2022-06-13 23:04:16.518666
2759,1,10627.220575859,2022-06-13 23:04:16.519339
2760,1,10627.221271259,2022-06-13 23:04:16.520034
2761,1,10627.222016897,2022-06-13 23:04:16.520779
2762,1,10627.231696393,2022-06-13 23:04:16.530459
2763,1,10627.232515971,2022-06-13 23:04:16.531279
2764,1,10627.233159207,2022-06-13 23:04:16.531922
2765,1,10627.233798803,2022-06-13 23:04:16.532562
2766,1,10627.234437409,2022-06-13 23:04:16.533199
2767,1,10627.235109833,2022-06-13 23:04:16.533872
2768,1,10627.235786699,2022-06-13 23:04:16.534549
2769,1,10627.236471531,2022-06-13 23:04:16.535234
2770,1,10627.237188323,2022-06-13 23:04:16.535952
2771,1,10627.237889207,2022-06-13 23:04:16.536652
2772,1,10627.238522129,2022-06-13 23:04:16.537284
2773,1,10627.248232079,2022-06-13 23:04:16.546996
2774,1,10627.249020849,2022-06-13 23:04:16.547784
2775,1,10627.249630497,2022-06-13 23:04:16.548394
2776,1,10627.250278773,2022-06-13 23:04:16.549043
2777,1,10627.250962416,2022-06-13 23:04:16.549726
2778,1,10627.251650638,2022-06-13 23:04:16.550414
2779,1,10627.252335363,2022-06-13 23:04:16.551099
2780,1,10627.253067571,2022-06-13 23:04:16.551832
2781,1,10627.253815236,2022-06-13 23:04:16.552579
2782,1,10627.254507215,2022-06-13 23:04:16.553272
2783,1,10627.255215401,2022-06-13 23:04:16.553980
2784,1,10627.264973321,2022-06-13 23:04:16.563736
2785,1,10627.265921645,2022-06-13 23:04:16.564686
2786,1,10627.26662068,2022-06-13 23:04:16.565385
2787,1,10627.267326568,2022-06-13 23:04:16.566091
2788,1,10627.268034332,2022-06-13 23:04:16.566813
2789,1,10627.268693557,2022-06-13 23:04:16.567457
2790,1,10627.269344767,2022-06-13 23:04:16.568109
2791,1,10627.269948528,2022-06-13 23:04:16.568710
2792,1,10627.270596928,2022-06-13 23:04:16.569360
2793,1,10627.271191523,2022-06-13 23:04:16.569953
2794,1,10627.271885299,2022-06-13 23:04:16.570650
2795,1,10627.281405208,2022-06-13 23:04:16.580168
2796,1,10627.282210433,2022-06-13 23:04:16.580976
2797,1,10627.28304056,2022-06-13 23:04:16.581806
2798,1,10627.283754501,2022-06-13 23:04:16.582519
2799,1,10627.284440972,2022-06-13 23:04:16.583205
2800,1,10627.285136121,2022-06-13 23:04:16.583901
2801,1,10627.285827754,2022-06-13 23:04:16.584591
2802,1,10627.286534478,2022-06-13 23:04:16.585300
2803,1,10627.287212616,2022-06-13 23:04:16.585976
2804,1,10627.2878957,2022-06-13 23:04:16.586660
2805,1,10627.288615088,2022-06-13 23:04:16.587381
2806,1,10627.298200851,2022-06-13 23:04:16.596966
2807,1,10627.299139202,2022-06-13 23:04:16.597904
2808,1,10627.299839617,2022-06-13 23:04:16.598605
2809,1,10627.300485354,2022-06-13 23:04:16.599252
2810,1,10627.301187074,2022-06-13 23:04:16.599953
2811,1,10627.301859612,2022-06-13 23:04:16.600624
2812,1,10627.302522969,2022-06-13 23:04:16.601287
2813,1,10627.3031852,2022-06-13 23:04:16.601949
2814,1,10627.303867093,2022-06-13 23:04:16.602634
2815,1,10627.304585216,2022-06-13 23:04:16.603351
2816,1,10627.305240059,2022-06-13 23:04:16.604006
2817,1,10627.315225768,2022-06-13 23:04:16.613991
2818,1,10627.316036766,2022-06-13 23:04:16.614804
2819,1,10627.3167092,2022-06-13 23:04:16.615474
2820,1,10627.317351084,2022-06-13 23:04:16.616115
2821,1,10627.317980298,2022-06-13 23:04:16.616744
2822,1,10627.31862708,2022-06-13 23:04:16.617391
2823,1,10627.319255243,2022-06-13 23:04:16.618018
2824,1,10627.319880356,2022-06-13 23:04:16.618644
2825,1,10627.320502616,2022-06-13 23:04:16.619265
2826,1,10627.321148142,2022-06-13 23:04:16.619913
2827,1,10627.32179858,2022-06-13 23:04:16.620563
2828,1,10627.331757993,2022-06-13 23:04:16.630526
2829,1,10627.332558844,2022-06-13 23:04:16.631324
2830,1,10627.333212458,2022-06-13 23:04:16.631977
2831,1,10627.333866677,2022-06-13 23:04:16.632631
2832,1,10627.334511142,2022-06-13 23:04:16.633276
2833,1,10627.335170929,2022-06-13 23:04:16.633935
2834,1,10627.335840554,2022-06-13 23:04:16.634606
2835,1,10627.336484774,2022-06-13 23:04:16.635250
2836,1,10627.337140367,2022-06-13 23:04:16.635905
2837,1,10627.337805562,2022-06-13 23:04:16.636573
2838,1,10627.338494856,2022-06-13 23:04:16.637261
2839,1,10627.348469207,2022-06-13 23:04:16.647236
2840,1,10627.349313941,2022-06-13 23:04:16.648081
2841,1,10627.350031993,2022-06-13 23:04:16.648800
2842,1,10627.350699681,2022-06-13 23:04:16.649465
2843,1,10627.351572449,2022-06-13 23:04:16.650340
2844,1,10627.352215593,2022-06-13 23:04:16.650983
2845,1,10627.352880411,2022-06-13 23:04:16.651647
2846,1,10627.353536211,2022-06-13 23:04:16.652301
2847,1,10627.354185719,2022-06-13 23:04:16.652951
2848,1,10627.354857037,2022-06-13 23:04:16.653624
2849,1,10627.355589173,2022-06-13 23:04:16.654357
2850,1,10627.365362876,2022-06-13 23:04:16.664130
2851,1,10627.366179781,2022-06-13 23:04:16.664947
2852,1,10627.366863261,2022-06-13 23:04:16.665631
